case,place,gender,age,decision
[
        [1, "Unites States", "Male", "20-30", 2],
        [2, "Unites States", "Female", "20-30", 2],
        [3, "Unites States", "Male", "30-40", 2],
        [4, "Unites States", "Female", "30-40", 2],
        [5, "United Kingdom", "Male", "20-30", 2],
        [6, "United Kingdom", "Female", "20-30", 2],
        [7, "United Kingdom", "Male", "30-40", 2],
        [8, "United Kingdom", "Female", "30-40", 2],
        [9, "United Kingdom", "Male", "20-30", 1],
        [10, "United Kingdom", "Female", "20-30", 1],
        [11, "Unites States", "Male", "30-40", 1],
        [12, "Unites States", "Female", "30-40", 1],
        [13, "Netherlands", "Male", "20-30", 1],
        [14, "Netherlands", "Male", "30-40", 2],
        [15, "Netherlands", "Female", "30-40", 2],
